epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,172.563,1.01941,0.63983,0.83154,0.83652,0.59366,0.6708,0.49015,0.74888,0.56734,0.90899,0.000204143,0.000204143,0.000204143
167,173.607,0.97909,0.63303,0.83958,0.8416,0.60263,0.66934,0.49224,0.7576,0.54769,0.90979,0.000203901,0.000203901,0.000203901
168,174.813,1.02366,0.64294,0.84021,0.83239,0.60515,0.67047,0.48575,0.7616,0.53027,0.91089,0.000203659,0.000203659,0.000203659
169,175.822,0.97965,0.6218,0.82861,0.81545,0.60805,0.67402,0.48618,0.75589,0.52969,0.90529,0.000203418,0.000203418,0.000203418
170,176.876,0.97534,0.65721,0.83239,0.82138,0.60272,0.68062,0.4898,0.77756,0.52625,0.89965,0.000203176,0.000203176,0.000203176
171,177.846,0.97943,0.61864,0.82848,0.84888,0.59652,0.67952,0.49663,0.75102,0.51641,0.89793,0.000202935,0.000202935,0.000202935
172,178.943,0.98909,0.6387,0.82659,0.83196,0.61663,0.68508,0.49614,0.75108,0.51174,0.90089,0.000202693,0.000202693,0.000202693
173,179.957,0.98066,0.6286,0.82732,0.81017,0.62095,0.68726,0.50076,0.75671,0.51771,0.90576,0.000202452,0.000202452,0.000202452
174,181.067,0.97005,0.60527,0.82972,0.84289,0.60616,0.68702,0.50458,0.76645,0.53695,0.90917,0.00020221,0.00020221,0.00020221
175,182.119,0.98607,0.62507,0.82681,0.85744,0.59603,0.68638,0.50033,0.74397,0.53531,0.90702,0.000201969,0.000201969,0.000201969
176,183.15,0.99076,0.62187,0.82771,0.84271,0.59932,0.68842,0.4984,0.75152,0.52739,0.90435,0.000201727,0.000201727,0.000201727
177,184.199,0.96585,0.61569,0.81832,0.85872,0.59787,0.68832,0.50043,0.76422,0.52381,0.90628,0.000201485,0.000201485,0.000201485
178,185.277,1.02298,0.6456,0.83115,0.83247,0.60495,0.68153,0.49494,0.76447,0.5283,0.90388,0.000201244,0.000201244,0.000201244
179,186.312,0.98917,0.61509,0.83158,0.84282,0.58907,0.68052,0.49498,0.76904,0.52183,0.90306,0.000201002,0.000201002,0.000201002
180,187.352,0.96415,0.58314,0.81962,0.8682,0.58064,0.67355,0.48737,0.7688,0.5199,0.90094,0.000200761,0.000200761,0.000200761
181,188.356,0.99503,0.62708,0.82282,0.88402,0.57281,0.66651,0.48636,0.76693,0.5259,0.90297,0.000200519,0.000200519,0.000200519
